id;Artiest;Titel;Soort;Formaat;Jaar ;Persing;Staat;Kleur Vinyl;Code;Label;Aantal;Bijzonderheden;Afbeelding
57;Dead Moon;Day after Day / It's OK;Single;"7""";1993;USA;Very Good;Zwart;T-52;Tombstone records;1;Cover Photo: Willem Kolvoort. Foto achterkant Peter Weening;
58;Dead Moon;Too may people + 3;EP;"7""";2012;USA;Mint;Zwart;MRP-001EP;Mississippi Records;2;"Two unreleased songs and two songs off the European only ""13 Of My Hook"" LP. Label says it plays at 45rpm but actually plays at 33. Also 2012 instead of 2011. ";
59;Dead Moon;Ricochet / Running out of time;Single;"7""";1994;USA;Near Mint;Zwart;SFTRI276;Sympathy for the record industry;1;Foto voorkant Vera? Tekening achterkant Peter Pontiac?;
60;Dead Moon;Goar #3;EP;"7""";1990;Germany;Very Good;Zwart;GOAR 3;Goar records;1;"Released without cover. 7"" came free with Goar Magazine #3, Live recordings various artists. Dead Moon: I'm Wise + You must be a witch.";
61;Dead Moon;Ptolemaic Terrascope #5;EP;"7""";1990;UK;Good;Zwart;POT 5;Ptolemaic Terrascope;1;Included with Ptolemaic Terrascope #5 fanzine;
62;Dead Moon;Fire in the western world / Room 213;Single;"7""";1992;USA;Very Good;Zwart;T-42;Tombstone records;1;;
63;Dead Moon;Clouds of Dawn;EP;"7""";1992;Germany;Very Good;Zwart;SuB-92/10;Subway Records;1;Front sleeve note: 'limited edition vinyl only!'. Versie zonder Medicine & Therapy Fanzine ;
64;Dead Moon;Dirty Noise / Dark Deception;Single;"7""";1993;USA;Very Good;Transparant wit;SP 200;Sub Pop;1;;
65;Dead Moon;Live at Satyricon;LP;"12""";2015;USA;Mint;Zwart;;Voodoo Doughnut Recordings;1;Live recordings from April16, 1993 at the Satyricon.;
66;Dead Moon;Unknown Passage: the Dead Moon story;DVD;;2006;;;;;Magic Umbrella Films ;1;175 minuten, ook opnames van Peter Weening, Vera;
67;The western front;Toody / The Western Front;LP;"10""";2013;Usa;near mint;zwart;MRP-045;mississippi / change records;1;;
68;The western front;The western front;Single;"7""";1985;Usa;near mint;zwart;W-7007;Whizeagle records;1;;
69;The western front;Various Mushroom Music Monoliths;LP;"12""";1999;Germany;Near Mint;black;301133;Swamp Records;1;750 copies, Monsters en Dead Moon;
70;Fred Cole;Where The Candybeetle Dwells - Time Flies;LP;"12""";2015;Nederland;Mint;Zwart;PE-Werk 20150109a/b;Publishinghouse Philip Elchers;1;LP is housed inside a book with images by Willem Kolvoort ;
